"compound","sentence1","sentence2","sentence3"
"abalo sísmico","São incomuns em Goiana os grandes abalos sísmicos ou terremotos .","sent2: (['# MWETOOLKIT: meta.doc.id=""netq-d0d6e""', '# MWETOOLKIT: meta.doc.title=""�Universidade Estadual Vale do Acaraú UVA Disciplina: Geologia Geral Texto-Base Para Prova Especial Curso: Geografia""', '# MWETOOLKIT: meta.doc.source=""http://docplayer.com.br/6582250-Universidade-estadual-vale-do-acarau-uva-disciplina-geologia-geral-texto-base-para-prova-especial-curso-geografia.html""'], 293)","sent3: (['# MWETOOLKIT: meta.doc.id=""neto-10c668""', '# MWETOOLKIT: meta.doc.title=""Manual de Emerg�ncia ao Planeta Terra Preparando-se para os Momentos-ciclos finais""', '# MWETOOLKIT: meta.doc.source=""http://www.curaeascensao.com.br/ashtar_sheran/ashtarsheran16.html""'], 75)"
"acampamento militar","Pelos quartéis e pelos acampamentos militares onde se decidiam as estratégias ;","Um acampamento militar e várias barreiras policiais foram instaladas nos acessos e no povoado .","Na Guiana havia um grande acampamento militar e um avião de tropas estava trazendo mais soldados para ali ."
"agente secreto","Existe mesmo no serviço secreto inglês um agente secreto com licença para matar !","Um agente secreto dos Estados Unidos se apaixona por uma espiã .","Fleming criou um agente secreto que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho ."
"água doce","O Brasil conta com grandes reservas de água doce .","A maior reserva de água doce , que ganha cada vez mais importância .","95 a 98% das pérolas de água doce não são nucleadas ."
"água mineral","Só beba água mineral lacrada .","sent2: (['# MWETOOLKIT: meta.doc.id=""netb-cb1e5""', '# MWETOOLKIT: meta.doc.title=""Mujahdin Cucaracha: Maio 2010""', '# MWETOOLKIT: meta.doc.source=""http://mujahdincucaracha.blogspot.com.br/2010_05_01_archive.html""'], 351)","Foram avaliadas 47 marcas de água mineral ;"
"alarme falso","sent1: (['# MWETOOLKIT: meta.doc.id=""netl-107c49""', '# MWETOOLKIT: meta.doc.title=""Fortaleza Nobre | Resgatando a Fortaleza antiga : Abril 2013""', '# MWETOOLKIT: meta.doc.source=""http://www.fortalezanobre.com.br/2013_04_01_archive.html""'], 174)","Achei que tinha tido progresso , mas nada , alarme falso .","Os alarmes falsos da chegada dos rebeldes eram constantes ."
"algodão-doce","Tem pipoca , estalinho , algodão-doce , sorvete","Para a garotada , pipoca , algodão-doce , cachorro quente , cama elástica e piscina de bolinhas .","Adicione a isso jujubas e algodão-doce e você terá o meu conceito de como deveria ser o paraíso !"
"alta temporada","Na alta temporada ( dezembro - fevereiro ) evite usar carro .","É importante reservar antes , principalmente em período de alta temporada !","A oferta de hotéis por toda a Índia é grande mesmo em alta temporada ."
"alta-costura","Em vez de tênis de baixa qualidade , vamos fazer tênis de alta-costura .","A marca Christian Dior é um ícone da moda de alta-costura .","Adoro ver roupas tidas como simples , mas com uma precisão de alta-costura ."
"alto mar","Eles pescavam e congelavam os peixes em alto mar .","Estória de batalha desesperada e mortes em alto mar .","Os grandes cardumes só estão em alto mar !"
"alto-falante","Possui microfone e alto-falante mono .","Inauguramos serviços de alto-falantes e a rádio - colmeia .","Como sei a potência do alto-falante ?"
"amigo oculto","E aguardo ansiosamente o livro do meu amigo oculto .","Teve presente de amigo oculto chegando pelos correios . . .","Logo , todos adivinham que seu amigo oculto é . . ."
"amigo secreto","Dar caixa de chocolates para o amigo secreto .","Meu amigo secreto é um sujeito muito irado .","Amigo secreto é trocar o presente espontâneo por um brinde ."
"amor-próprio","Eu escolhi amor-próprio e não autopiedade .","Perdeu o autorrespeito e o amor-próprio .","Desenvolva mais amor-próprio , cure suas inseguranças ."
"ano-novo","Esse ano , estarei embarcada Natal e ano-novo .","Esta é a minha decisão de ano-novo .","Esta é minha principal resolução de ano-novo ."
"ar condicionado","sent1: (['# MWETOOLKIT: meta.doc.id=""netc-1c5a9""', '# MWETOOLKIT: meta.doc.title=""REFLEX�ESRADICAIS  &raquo; Cronograma para a saída de tropas reanimou o Taleba...""', '# MWETOOLKIT: meta.doc.source=""http://claudiomafra.com.br/cronograma-para-a-saida-de-tropas-reanimou-o-taleban-jeffrey-goldberg-extenso-comentario-do-blog-a-respeito-de-castello-e-juscelino-a-defesa-do-palacio-guanabara-uma-nota-sobre-a-siria/""'], 250)","Alguns ônibus tem ar condicionado .","Existe ar condicionado em todos os quartos ."
"ar livre","E vamos também construir uma piscina de ar livre em Vila Verde .","Artística , gosta de coisas bonitas e também da natureza e de ar livre .","Este restaurante ao ar livre está especializado em pratos tradicionais brasileiros , como a galinhada caipira ."
"arma branca","Oito pessoas foram detidas com rojões e armas brancas .","Gangues ligadas ao grupo costumam portar armas brancas e de fogo .","Foices e facões são armas brancas de uso corriqueiro ."
"ato falho","Ocorre que temos razões para nossos esquecimentos , atos falhos e medos exagerados .","Astúcia proposital ou ato falho freudiano , a redação ambígua confere ao depoimento um valor que não tem .","Mas não é um ato falho e , ao invés de atrapalhar , trás um elemento a mais para a narrativa ."
"banho turco","Tome banho em um hammam , ou seja um banho turco .","Somente no século XVII houve a introdução das casas de saunas e banhos turcos .","O banho comunal na idade média e o banho turco tinham fins semelhantes ."
"batata-doce","Como entrada veio um ceviche amazônico com batata-doce .","A batata-doce é um alimento de baixo índice glicêmico .","Confira em quais preparações a batata-doce pode ser utilizada ."
"bebida alcoólica","Você costuma ingerir bebida alcoólica ?","Proibiram a venda de bebidas alcoólicas ?","As bebidas alcoólicas podem causar consequências graves ."
"bode expiatório","A classe médica está sendo usada como bode expiatório .","Peguei - o para bode expiatório , Ziraldo ?","Dialoguem e não arranjem mais um bode expiatório ."
"braço direito","Ele era praticamente o braço direito de meu avô .","Não me considero braço direito do senhor Carlos .","Tem 37 anos e é o braço direito de seu pai , Agustín ."
"buraco negro","sent1: (['# MWETOOLKIT: meta.doc.id=""netb-114824""', '# MWETOOLKIT: meta.doc.title=""astronomia | Xis-Xis""', '# MWETOOLKIT: meta.doc.source=""http://scienceblogs.com.br/xisxis/category/astronomia/""'], 25)","sent2: (['# MWETOOLKIT: meta.doc.id=""netb-114824""', '# MWETOOLKIT: meta.doc.title=""astronomia | Xis-Xis""', '# MWETOOLKIT: meta.doc.source=""http://scienceblogs.com.br/xisxis/category/astronomia/""'], 23)","Um buraco negro pode engolir pelo menos 10 . 000 sóis !"
"café colonial","Termine a viagem na Floos Haus e saia rolando de tanto comer no café colonial .","Os hotéis locais também oferecem boas alternativas , como noites de bailes e café coloniais aos sábados .","Inclui café colonial , almoço , jantar e todas as atividades de lazer , incluindo cavalgadas , caiaque e pesca esportiva ."
"caixa-forte","Experts em assaltos a cofres e caixas-forte .","Quero que estes sejam instalados em caixa-forte em condições de conservação adequadas a cargo da câmara municipal .","A lucidez que lhe permitiu guardar esses presentes em uma caixa-forte blindada daquela casa , em vez dos guardar no Museu da Presidência da República ."
"caixa-preta","Quando será aberta a caixa-preta do sindicalismo brasileiro ?","Eles foram convocados para abrir a caixa-preta do panamericano .","Em suma : aparelhos são caixas-pretas que simulam o pensamento humano ."
"caixeiro viajante","Além de marinheiro e caixeiro viajante devo ter sido poeta . . .","Os caixeiros viajantes partiram , não para vender a produção , mas para vender o país .","Ridículo que os caixeiros viajantes de agora tentam vender o que os outros vão produzir ."
"câmara fria","Fomos os primeiros da região a implantar uma câmara fria para sementes .","A câmara fria armazena cerca de 30 bois e a capacidade diária de abate chega a 60 bois diários .","Logo após a produção os barris seguem para os bares da rede e permanecem armazenados em câmaras frias ."
"carne branca","Ideal para acompanhar carnes brancas e massas .","As carnes vermelhas são mais nutritivas do que as carnes brancas , com relação a micronutrientes .","Trata - se de carne branca , com pouca gordura e boa fonte de proteína ."
"carne vermelha","Você poderá comer frango grelhado ou cozido ao invés de carne vermelha .","Como os nutricionistas vêem o consumo de carne vermelha ?","Ideal para acompanhar carnes vermelhas , caças e porco ."
"carro-forte","Quando o carro-forte deixou o banco , os veículos ingressaram no estacionamento .","sent2: (['# MWETOOLKIT: meta.doc.id=""net-1ddaa3""', '# MWETOOLKIT: meta.doc.title=""Mujahdin Cucaracha: Outubro 2011""', '# MWETOOLKIT: meta.doc.source=""http://mujahdincucaracha.blogspot.com.br/2011_10_01_archive.html""'], 562)","Assaltos mais ousados passaram a acontecer , e os carros-fortes foram se tornando verdadeiras fortalezas ."
"carta aberta","Reproduzimos , na íntegra a carta aberta que foi redigida em inglês , macuxi e português .","A carta aberta também faz denúncias de descaso com a saúde de indígenas .","As cartas argumentativas podem ser : carta aberta à população , carta de reclamação e carta de solicitação ."
"centro comercial","A chuva levou muita gente aos centros comerciais .","Normalmente , os restaurantes encontram - se dentro de centros comerciais .","Pedimos para ir ao maior centro comercial de Delhi ."
